book_id,author_id
000000196,0
000004047,1
000005382,2
000014627,3
000017057,4
000051104,5
000053289,6
000069889,7
000069890,7
000077449,8
000078073,9
000084631,10
000087222,11
000087652,7
000089266,12
000100299,13
000106624,14
000119124,15
000119467,16
000123926,17
000135887,18
000151500,19
000154917,20
000168700,21
000176766,22
000182354,23
000188893,24
000194793,25
000203888,26
000210763,27
000212786,28
000215686,29
000223669,30
000249060,31
000249073,32
000254656,33
000255540,34
000258850,35
000266214,36
000273667,37
000293364,38
000296877,39
000304422,40
000307734,41
000307851,42
000348846,43
000349422,44
000366677,45
000371033,46
000375921,7
000375924,7
000380279,47
000387896,48
000409791,49
000439778,50
000451882,51
000479810,52
000487659,53
000492164,54
000494991,55
000495551,56
000497994,57
000498454,58
000498768,59
000499209,60
000499453,60
000545986,61
000551646,62
000552517,63
000554689,64
000558547,65
000558610,65
000561729,66
000569257,67
000570346,68
000570834,69
000579863,7
000585196,70
000585378,71
000585701,72
000595792,73
000597540,7
000610432,74
000621677,75
000626199,76
000635054,77
000638231,78
000655436,79
000684785,7
000692135,80
000701778,81
000712067,82
000715387,83
000739876,84
000740451,85
000740458,85
000747484,86
000748885,87
000749886,88
000754106,89
000771666,90
000773254,91
000774823,92
000776665,93
000777232,94
000779108,95
000788104,96
000789156,97
000802657,98
000809128,99
000813771,7
000813835,100
000815824,7
000827537,101
000835040,102
000835116,102
000836054,103
000849202,104
000853839,105
000857971,106
000865148,107
000868225,108
000876584,109
000883563,110
000897980,111
000933693,112
000938720,113
000956475,114
000966203,115
000967261,116
000979338,117
000979830,7
000984613,7
000985849,118
000987705,119
000987706,119
000996205,7
001002770,120
001005994,121
001041515,122
001043208,7
001061079,123
001087806,7
001110429,7
001179824,7
001180997,124
001184363,7
001215877,125
001240069,126
001245344,127
001246458,128
001256889,7
001258834,7
001268806,129
001276154,130
001281257,131
001318305,132
001318406,133
001318543,134
001344776,135
001370298,136
001370329,136
001372979,137
001405985,7
001416736,138
001421662,139
001432129,140
001441698,141
001449461,142
001450682,143
001466752,144
001476310,145
001476998,146
001501180,147
001503244,148
001503245,148
001519501,149
001552331,150
001557093,151
001571051,152
001580764,153
001591828,154
001592028,155
001593978,156
001594129,156
001595516,157
001596609,158
001604683,7
001626894,159
001646777,160
001654592,161
001656017,162
001675057,163
001684860,164
001689786,165
001694644,166
001710613,167
001714563,168
001728296,169
001741394,170
001742292,171
001744416,7
001748051,172
001750017,173
001765206,174
001769555,175
001793956,176
001820117,177
001831273,178
001837830,7
001845847,179
001847031,180
001859821,181
001863082,182
001863412,183
001884498,184
001889000,185
001889987,186
001916949,187
001916959,188
001917765,7
001920080,7
001937922,189
001948469,190
001950497,191
001975731,192
001992149,193
001992150,193
002055563,194
002081122,195
002110782,196
002111607,197
002112125,7
002112441,7
002121650,198
002126316,199
002134702,200
002157157,201
002157948,202
002171669,7
002178109,203
002179454,7
002226634,7
002243305,7
002251621,7
002255687,204
002263922,205
002263925,205
002271099,206
002275287,207
002276675,208
002287006,209
002296243,7
002304750,210
002313563,211
002314450,212
002315082,213
002319957,214
002322660,215
002329099,216
002333264,217
002356835,218
002362553,7
002394942,219
002401154,220
002401931,221
002403420,7
002410789,7
002416684,222
002421334,223
002422448,7
002424316,224
002437243,225
002437244,225
002463048,226
002464633,227
002467021,228
002485424,229
002489104,230
002492025,7
002498634,7
002499813,231
002513875,7
002520277,232
002527441,233
002534021,234
002539732,235
002540919,236
002541027,236
002551581,237
002576186,238
002583146,239
002593728,7
002593729,7
002598349,240
002604418,241
002605823,242
002663111,243
002671030,7
002672983,244
002673960,245
002674241,246
002674278,247
002687197,7
002690403,248
002703776,249
002705014,250
002720548,251
002731783,252
002738178,253
002747866,254
002753002,255
002779205,256
002780131,257
002781364,258
002782282,7
002782284,7
002791449,259
002800725,260
002811288,261
002811291,262
002839037,7
002884870,263
002906262,7
002912567,264
002914911,265
002933269,266
002934088,267
002934163,268
002949897,269
002962407,270
002962419,271
002969421,272
002971353,273
002971355,273
002974120,274
002996219,7
003000179,7
003018896,275
003031077,276
003032384,7
003036125,277
003044203,278
003047002,279
003047010,279
003051952,280
003053005,281
003056259,282
003091234,7
003106151,7
003129137,283
003129565,284
003153904,285
003155060,286
003158032,7
003161630,287
003164359,288
003194997,289
003206145,290
003214167,291
003232873,292
003232880,292
003259081,293
003271436,294
003287210,295
003294037,7
003320288,7
003343989,296
003357394,297
003358834,298
003365673,299
003368416,300
003376539,301
003376543,302
003383274,7
003386275,303
003389730,304
003405646,305
003416778,306
003416779,306
003421336,307
003424363,308
003424364,308
003430089,309
003439116,310
003443039,311
003447835,312
003463549,313
003481739,314
003492293,7
003494892,315
003507054,316
003516347,7
003518291,317
003523324,318
003536006,319
003539117,7
003540731,320
003558890,321
003586867,322
003588968,323
003592027,324
003592034,324
003592681,325
003598553,326
003615490,7
003625346,327
003626651,328
003633938,329
003634946,330
003673654,331
003693495,332
003712219,7
003756656,333
003795731,7
003828236,334
003833085,335
003844992,336
003857372,337
003857375,337
003865526,338
003865691,339
003865785,340
003868230,341
003873166,342
003883928,343
003894671,344
003898075,345
003906470,346
003907040,347
003907278,348
003926094,349
003926533,350
003931298,351
003935342,352
003941158,353
003941171,354
003944651,355
003947861,356
003952256,357
003970310,358
003970699,359
003980045,7
003981179,360
003981506,7
003981647,361
003988430,362
003988464,363
003988508,362
003999073,7
004088697,364
004088699,364
